Count;Course;Event;Cod;Gender;Date;Time;Athlete;Country;Meet;City;Nation;Type;Birthday;days;Age
744;LCM;400m individual medley;18;Women;19/08/1967;5:08.2;KOLB, Claudia;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Individual;19/12/1949;6452 ;17 years, 243 days
745;LCM;400m individual medley;18;Women;24/08/1968;5:04.7;KOLB, Claudia;USA;USA Olympic Trials;Long Beach, California;USA;Individual;19/12/1949;6823 ;18 years, 249 days
746;LCM;400m individual medley;18;Women;09/07/1972;5:02.97;NEALL, Gail;AUS;;M nchen, Bavaria;FRG;Individual;02/08/1955;6186 ;16 years, 342 days
747;LCM;400m individual medley;18;Women;18/08/1973;5:01.10;FRANKE, Angela;GDR;;Utrecht;NED;Individual;18/11/1957;5752 ;15 years, 273 days
748;LCM;400m individual medley;18;Women;06/09/1973;4:57.511;WEGNER, Gudrun;GDR;World Championships;Beograd (Belgrade);YUG;Individual;28/02/1955;6765 ;18 years, 190 days
749;LCM;400m individual medley;18;Women;21/08/1974;4:52.42;TAUBER, Ulrike;GDR;European Championships;Wien (Vienna);AUT;Individual;16/06/1958;5910 ;16 years, 66 days
750;LCM;400m individual medley;18;Women;07/06/1975;4:52.20;TAUBER, Ulrike;GDR;;Wittenberg;FRG;Individual;16/06/1958;6200 ;16 years, 356 days
751;LCM;400m individual medley;18;Women;01/06/1976;4:48.79;TREIBER, Birgit;GDR;GDR Olympic Trials;Berlin;GDR;Individual;26/02/1960;5940 ;16 years, 96 days
752;LCM;400m individual medley;18;Women;24/07/1976;4:42.77;TAUBER, Ulrike;GDR;Olympic Games;Montr al, Qu bec;CAN;Individual;16/06/1958;6613 ;18 years, 38 days
753;LCM;400m individual medley;18;Women;23/08/1978;4:40.83;CAULKINS, Tracy;USA;World Championships;Berlin;FRG;Individual;11/01/1963;5703 ;15 years, 224 days
754;LCM;400m individual medley;18;Women;30/03/1980;4:39.96;SCHNEIDER, Petra;GDR;;Leningrad;URS;Individual;11/01/1963;6288 ;17 years, 79 days
755;LCM;400m individual medley;18;Women;27/05/1980;4:38.44;SCHNEIDER, Petra;GDR;;Magdeburg, Magdeburg;GDR;Individual;11/01/1963;6346 ;17 years, 137 days
756;LCM;400m individual medley;18;Women;26/07/1980;4:36.29;SCHNEIDER, Petra;GDR;Olympic Games;Moskva (Moscow);URS;Individual;11/01/1963;6406 ;17 years, 197 days
757;LCM;400m individual medley;18;Women;01/08/1982;4:36.10;SCHNEIDER, Petra;GDR;World Championships;Guayaquil;ECU;Individual;11/01/1963;7142 ;19 years, 202 days
758;LCM;400m individual medley;18;Women;13/10/1997;4:34.79;CHEN, Yan;CHN;China's National Games;Shanghai;CHN;Individual;27/03/1981;6044 ;16 years, 200 days
759;LCM;400m individual medley;18;Women;16/09/2000;4:33.59;KLOCHKOVA, Yana;UKR;Olympic Games;Sydney, New South Wales;AUS;Individual;07/08/1982;6615 ;18 years, 40 days
760;LCM;400m individual medley;18;Women;01/04/2007;4:32.89;HOFF, Katie;USA;World Championships;Melbourne, Victoria;AUS;Individual;03/06/1989;6511 ;17 years, 302 days
761;LCM;400m individual medley;18;Women;22/03/2008;4:31.46;RICE, Stephanie;AUS;Australia Championships;Sydney, New South Wales;AUS;Individual;17/06/1988;7218 ;19 years, 279 days
762;LCM;400m individual medley;18;Women;29/06/2008;4:31.12;HOFF, Katie;USA;USA Olympic Trials;Omaha, Nebraska;USA;Individual;03/06/1989;6966 ;19 years, 26 days
763;LCM;400m individual medley;18;Women;10/08/2008;4:29.45;RICE, Stephanie;AUS;Olympic Games;Beijing;CHN;Individual;17/06/1988;7359 ;20 years, 54 days
764;LCM;400m individual medley;18;Women;28/07/2012;4:28.43;YE, Shiwen;CHN;Olympic Games;London, Greater London, England;GBR;Individual;01/03/1996;5993 ;16 years, 149 days
765;LCM;400m individual medley;18;Women;06/08/2016;4:26.36;HOSSZU, Katinka;HUN;Olympic Games;Rio de Janeiro;BRA;Individual;03/05/1989;9957 ;27 years, 95 days
766;LCM;400m individual medley;18;Women;01/04/2023;4:25.87;MCINTOSH, Summer;CAN;Canadian World Championship Trials;Toronto;CAN;Individual;18/08/2006;6070 ;16 years, 226 days
767;LCM;400m individual medley;18;Women;16/05/2024;4:24.38;MCINTOSH, Summer;CAN;Canadian Olympic Trials;Toronto;CAN;Individual;18/08/2006;6481 ;17 years, 272 days
768;LCM;4x100m freestyle;20;Women;15/07/1912;5:52.8;MOORE, Isabella;GBR;Olympic Games;Stockholm;SWE;Relay;23/10/3794;6474 ;17 years, 266 days
769;LCM;4x100m freestyle;20;Women;15/07/1912;5:52.8;FLETCHER, Jennie;GBR;Olympic Games;Stockholm;SWE;Relay;19/03/3790;8153 ;22 years, 118 days
770;LCM;4x100m freestyle;20;Women;15/07/1912;5:52.8;SPEIRS, Annie;GBR;Olympic Games;Stockholm;SWE;Relay;14/07/3789;8401 ;23 years, 1 days
771;LCM;4x100m freestyle;20;Women;15/07/1912;5:52.8;STEER, Irene;GBR;Olympic Games;Stockholm;SWE;Relay;10/08/3789;8374 ;22 years, 340 days
772;LCM;4x100m freestyle;20;Women;29/08/1920;5:11.6;WOODBRIDGE, Margaret;USA;Olympic Games;Antwerpen;BEL;Relay;06/01/1902;6810 ;18 years, 236 days
773;LCM;4x100m freestyle;20;Women;29/08/1920;5:11.6;SCHROTH, Frances;USA;Olympic Games;Antwerpen;BEL;Relay;11/04/3793;10001 ;27 years, 140 days
774;LCM;4x100m freestyle;20;Women;29/08/1920;5:11.6;GUEST, Irene;USA;Olympic Games;Antwerpen;BEL;Relay;;;
775;LCM;4x100m freestyle;20;Women;29/08/1920;5:11.6;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL;Relay;27/02/1902;6758 ;18 years, 184 days
776;LCM;4x100m freestyle;20;Women;20/07/1924;4:58.8;EDERLE, Gertrude;USA;Olympic Games;Paris;FRA;Relay;23/10/1905;6845 ;18 years, 271 days
777;LCM;4x100m freestyle;20;Women;20/07/1924;4:58.8;DONNELLY, Euphrasia;USA;Olympic Games;Paris;FRA;Relay;06/06/1905;6984 ;19 years, 44 days
778;LCM;4x100m freestyle;20;Women;20/07/1924;4:58.8;LACKIE, Ethel;USA;Olympic Games;Paris;FRA;Relay;10/02/1907;6370 ;17 years, 161 days
779;LCM;4x100m freestyle;20;Women;20/07/1924;4:58.8;WEHSELAU, Mariechen;USA;Olympic Games;Paris;FRA;Relay;15/05/1906;6641 ;18 years, 66 days
780;LCM;4x100m freestyle;20;Women;09/08/1928;4:55.6;LAMBERT, Adelaide;USA;Olympic Games;Amsterdam;NED;Relay;27/10/1907;7592 ;20 years, 287 days
781;LCM;4x100m freestyle;20;Women;09/08/1928;4:55.6;MCKIM, Josephine;USA;Olympic Games;Amsterdam;NED;Relay;04/01/1910;6792 ;18 years, 218 days
782;LCM;4x100m freestyle;20;Women;09/08/1928;4:55.6;LAIRD, Susan;USA;Olympic Games;Amsterdam;NED;Relay;18/07/1908;7327 ;20 years, 22 days
783;LCM;4x100m freestyle;20;Women;09/08/1928;4:55.6;OSIPOWICH, Albina;USA;Olympic Games;Amsterdam;NED;Relay;26/02/1911;6374 ;17 years, 165 days
784;LCM;4x100m freestyle;20;Women;09/08/1928;4:47.6;LAMBERT, Adelaide;USA;Olympic Games;Amsterdam;NED;Relay;27/10/1907;7592 ;20 years, 287 days
785;LCM;4x100m freestyle;20;Women;09/08/1928;4:47.6;GARATTI, Eleanor;USA;Olympic Games;Amsterdam;NED;Relay;12/06/1909;6998 ;19 years, 58 days
786;LCM;4x100m freestyle;20;Women;09/08/1928;4:47.6;OSIPOWICH, Albina;USA;Olympic Games;Amsterdam;NED;Relay;26/02/1911;6374 ;17 years, 165 days
787;LCM;4x100m freestyle;20;Women;09/08/1928;4:47.6;NORELIUS, Martha;USA;Olympic Games;Amsterdam;NED;Relay;22/01/1909;7139 ;19 years, 200 days
788;LCM;4x100m freestyle;20;Women;12/08/1932;4:38.0;MCKIM, Josephine;USA;Olympic Games;Los Angeles, California;USA;Relay;04/01/1910;8256 ;22 years, 221 days
789;LCM;4x100m freestyle;20;Women;12/08/1932;4:38.0;JOHNS, Helen;USA;Olympic Games;Los Angeles, California;USA;Relay;25/09/1914;6531 ;17 years, 322 days
790;LCM;4x100m freestyle;20;Women;12/08/1932;4:38.0;GARATTI, Eleanor;USA;Olympic Games;Los Angeles, California;USA;Relay;12/06/1909;8462 ;23 years, 61 days
791;LCM;4x100m freestyle;20;Women;12/08/1932;4:38.0;MADISON, Helene;USA;Olympic Games;Los Angeles, California;USA;Relay;19/06/1913;6994 ;19 years, 54 days
792;LCM;4x100m freestyle;20;Women;14/04/1934;4:33.3;SELBACH, Jopie;NED;;Rotterdam;NED;Relay;27/07/1918;5740 ;15 years, 261 days
793;LCM;4x100m freestyle;20;Women;14/04/1934;4:33.3;TIMMERMANS, Annie;NED;;Rotterdam;NED;Relay;10/04/1919;5483 ;15 years, 4 days
794;LCM;4x100m freestyle;20;Women;14/04/1934;4:33.3;MASTENBROEK, Rie;NED;;Rotterdam;NED;Relay;26/02/1919;5526 ;15 years, 47 days
795;LCM;4x100m freestyle;20;Women;14/04/1934;4:33.3;DEN OUDEN, Willy;NED;;Rotterdam;NED;Relay;01/01/1918;5947 ;16 years, 103 days
796;LCM;4x100m freestyle;20;Women;24/05/1936;4:32.8;SELBACH, Jopie;NED;;Rotterdam;NED;Relay;27/07/1918;6511 ;17 years, 302 days
797;LCM;4x100m freestyle;20;Women;24/05/1936;4:32.8;MASTENBROEK, Rie;NED;;Rotterdam;NED;Relay;26/02/1919;6297 ;17 years, 88 days
798;LCM;4x100m freestyle;20;Women;24/05/1936;4:32.8;WAGNER, Catherina;NED;;Rotterdam;NED;Relay;;;
799;LCM;4x100m freestyle;20;Women;24/05/1936;4:32.8;DEN OUDEN, Willy;NED;;Rotterdam;NED;Relay;01/01/1918;6718 ;18 years, 144 days
800;LCM;4x100m freestyle;20;Women;08/02/1938;4:29.7;SVENDSEN, Elvi;DEN;;K benhavn (Copenhagen);DEN;Relay;08/01/1920;6606 ;18 years, 31 days
801;LCM;4x100m freestyle;20;Women;08/02/1938;4:29.7;KRAFT, Gunvor;DEN;;K benhavn (Copenhagen);DEN;Relay;;;
802;LCM;4x100m freestyle;20;Women;08/02/1938;4:29.7;OVE-PETERSEN, Birte;DEN;;K benhavn (Copenhagen);DEN;Relay;;;
803;LCM;4x100m freestyle;20;Women;08/02/1938;4:29.7;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Relay;10/12/1920;6269 ;17 years, 60 days
804;LCM;4x100m freestyle;20;Women;07/08/1938;4:27.6;RIISE, Eva;DEN;;K benhavn (Copenhagen);DEN;Relay;27/11/1919;6828 ;18 years, 253 days
805;LCM;4x100m freestyle;20;Women;07/08/1938;4:27.6;KRAFT, Gunvor;DEN;;K benhavn (Copenhagen);DEN;Relay;;;
806;LCM;4x100m freestyle;20;Women;07/08/1938;4:27.6;OVE-PETERSEN, Birte;DEN;;K benhavn (Copenhagen);DEN;Relay;;;
807;LCM;4x100m freestyle;20;Women;07/08/1938;4:27.6;HVEGER ANDERSEN, Ragnhild;DEN;;K benhavn (Copenhagen);DEN;Relay;10/12/1920;6449 ;17 years, 240 days
808;LCM;4x100m freestyle;20;Women;27/04/1952;4:27.2;LITTOMERITZKY, Maria;HUN;;Moskva (Moscow);URS;Relay;12/05/1927;9117 ;24 years, 351 days
809;LCM;4x100m freestyle;20;Women;27/04/1952;4:27.2;NOVAK, Eva;HUN;;Moskva (Moscow);URS;Relay;08/01/1930;8145 ;22 years, 110 days
810;LCM;4x100m freestyle;20;Women;27/04/1952;4:27.2;SZEKELY, Eva;HUN;;Moskva (Moscow);URS;Relay;03/04/1927;9156 ;25 years, 24 days
811;LCM;4x100m freestyle;20;Women;27/04/1952;4:27.2;SZOKE, Katalin;HUN;;Moskva (Moscow);URS;Relay;17/08/1935;6098 ;16 years, 254 days
812;LCM;4x100m freestyle;20;Women;01/08/1952;4:24.4;NOVAK, Ilona;HUN;Olympic Games;Helsinki;FIN;Relay;16/05/1925;9939 ;27 years, 77 days
813;LCM;4x100m freestyle;20;Women;01/08/1952;4:24.4;TEMES, Judit;HUN;Olympic Games;Helsinki;FIN;Relay;10/10/1930;7966 ;21 years, 296 days
814;LCM;4x100m freestyle;20;Women;01/08/1952;4:24.4;NOVAK, Eva;HUN;Olympic Games;Helsinki;FIN;Relay;08/01/1930;8241 ;22 years, 206 days
815;LCM;4x100m freestyle;20;Women;01/08/1952;4:24.4;SZOKE, Katalin;HUN;Olympic Games;Helsinki;FIN;Relay;17/08/1935;6194 ;16 years, 350 days
816;LCM;4x100m freestyle;20;Women;20/10/1956;4:22.3;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Relay;01/10/1938;6594 ;18 years, 19 days
817;LCM;4x100m freestyle;20;Women;20/10/1956;4:22.3;FRASER, Dawn;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Relay;04/09/1937;6986 ;19 years, 46 days
818;LCM;4x100m freestyle;20;Women;20/10/1956;4:22.3;GIBSON, Margaret;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Relay;01/10/1938;6594 ;18 years, 19 days
819;LCM;4x100m freestyle;20;Women;20/10/1956;4:22.3;JACKSON, Barbara;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS;Relay;;;
820;LCM;4x100m freestyle;20;Women;25/10/1956;4:19.7;CRAPP, Lorraine;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS;Relay;01/10/1938;6599 ;18 years, 24 days
821;LCM;4x100m freestyle;20;Women;25/10/1956;4:19.7;FRASER, Dawn;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS;Relay;04/09/1937;6991 ;19 years, 51 days
822;LCM;4x100m freestyle;20;Women;25/10/1956;4:19.7;LEECH, Faith;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS;Relay;31/03/1941;5687 ;15 years, 208 days
823;LCM;4x100m freestyle;20;Women;25/10/1956;4:19.7;GIBSON, Margaret;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS;Relay;01/10/1938;6599 ;18 years, 24 days
824;LCM;4x100m freestyle;20;Women;06/12/1956;4:17.1;FRASER, Dawn;AUS;Olympic Games;Melbourne, Victoria;AUS;Relay;04/09/1937;7033 ;19 years, 93 days
825;LCM;4x100m freestyle;20;Women;06/12/1956;4:17.1;LEECH, Faith;AUS;Olympic Games;Melbourne, Victoria;AUS;Relay;31/03/1941;5729 ;15 years, 250 days
826;LCM;4x100m freestyle;20;Women;06/12/1956;4:17.1;MORGAN, Sandra;AUS;Olympic Games;Melbourne, Victoria;AUS;Relay;06/06/1942;5297 ;14 years, 183 days
827;LCM;4x100m freestyle;20;Women;06/12/1956;4:17.1;CRAPP, Lorraine;AUS;Olympic Games;Melbourne, Victoria;AUS;Relay;01/10/1938;6641 ;18 years, 66 days
828;LCM;4x100m freestyle;20;Women;06/08/1960;4:16.2;FRASER, Dawn;AUS;;Townsville, Queensland;AUS;Relay;04/09/1937;8372 ;22 years, 337 days
829;LCM;4x100m freestyle;20;Women;06/08/1960;4:16.2;COLQUHOUN, Alva;AUS;;Townsville, Queensland;AUS;Relay;28/02/1942;6734 ;18 years, 160 days
830;LCM;4x100m freestyle;20;Women;06/08/1960;4:16.2;KONRADS, Ilsa;AUS;;Townsville, Queensland;AUS;Relay;29/03/1944;5974 ;16 years, 130 days
831;LCM;4x100m freestyle;20;Women;06/08/1960;4:16.2;CRAPP, Lorraine;AUS;;Townsville, Queensland;AUS;Relay;01/10/1938;7980 ;21 years, 310 days
832;LCM;4x100m freestyle;20;Women;03/09/1960;4:08.9;SPILLANE, Joan;USA;Olympic Games;Roma, Lazio;ITA;Relay;31/01/1943;6425 ;17 years, 216 days
833;LCM;4x100m freestyle;20;Women;03/09/1960;4:08.9;STOBS, Shirley;USA;Olympic Games;Roma, Lazio;ITA;Relay;20/05/1942;6681 ;18 years, 106 days
834;LCM;4x100m freestyle;20;Women;03/09/1960;4:08.9;WOOD, Carolyn;USA;Olympic Games;Roma, Lazio;ITA;Relay;18/12/1945;5373 ;14 years, 260 days
835;LCM;4x100m freestyle;20;Women;03/09/1960;4:08.9;VON SALTZA, Chris;USA;Olympic Games;Roma, Lazio;ITA;Relay;13/01/1944;6078 ;16 years, 234 days
836;LCM;4x100m freestyle;20;Women;31/07/1964;4:08.5;STICKLES, Terri Lee;USA;USA Summer Nationals;Los Altos, California;USA;Relay;11/05/1946;6656 ;18 years, 81 days
837;LCM;4x100m freestyle;20;Women;31/07/1964;4:08.5;DE VARONA, Donna;USA;USA Summer Nationals;Los Altos, California;USA;Relay;26/04/1947;6306 ;17 years, 96 days
838;LCM;4x100m freestyle;20;Women;31/07/1964;4:08.5;WATSON, Lillian Debra;USA;USA Summer Nationals;Los Altos, California;USA;Relay;11/07/1950;5134 ;14 years, 20 days
839;LCM;4x100m freestyle;20;Women;31/07/1964;4:08.5;HAROUN, Judy;USA;USA Summer Nationals;Los Altos, California;USA;Relay;;;
840;LCM;4x100m freestyle;20;Women;28/09/1964;4:07.6;ALLSUP, Lynne;USA;Pre-Olympic Meet;Los Angeles, California;USA;Relay;02/01/1949;5748 ;15 years, 270 days
841;LCM;4x100m freestyle;20;Women;28/09/1964;4:07.6;STICKLES, Terri Lee;USA;Pre-Olympic Meet;Los Angeles, California;USA;Relay;11/05/1946;6715 ;18 years, 140 days
842;LCM;4x100m freestyle;20;Women;28/09/1964;4:07.6;SEIDEL, Kathleen;USA;Pre-Olympic Meet;Los Angeles, California;USA;Relay;;;
843;LCM;4x100m freestyle;20;Women;28/09/1964;4:07.6;BRICKER, Eleanor;USA;Pre-Olympic Meet;Los Angeles, California;USA;Relay;;;
844;LCM;4x100m freestyle;20;Women;15/10/1964;4:03.8;STOUDER, Sharon;USA;Olympic Games;Tokyo;JPN;Relay;09/11/1948;5819 ;15 years, 341 days
845;LCM;4x100m freestyle;20;Women;15/10/1964;4:03.8;DE VARONA, Donna;USA;Olympic Games;Tokyo;JPN;Relay;26/04/1947;6382 ;17 years, 172 days
846;LCM;4x100m freestyle;20;Women;15/10/1964;4:03.8;WATSON, Lillian Debra;USA;Olympic Games;Tokyo;JPN;Relay;11/07/1950;5210 ;14 years, 96 days
847;LCM;4x100m freestyle;20;Women;15/10/1964;4:03.8;ELLIS, Kathleen;USA;Olympic Games;Tokyo;JPN;Relay;28/11/1946;6531 ;17 years, 322 days
848;LCM;4x100m freestyle;20;Women;19/08/1967;4:03.5;GUSTAVSON, Linda;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Relay;30/11/1949;6471 ;17 years, 262 days
849;LCM;4x100m freestyle;20;Women;19/08/1967;4:03.5;RYAN, Nancy;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Relay;;;
850;LCM;4x100m freestyle;20;Women;19/08/1967;4:03.5;FRITZ, Laura;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Relay;;;
851;LCM;4x100m freestyle;20;Women;19/08/1967;4:03.5;WATSON, Lillian Debra;USA;AAU Championships;Philadelphia, Pennsylvania;USA;Relay;11/07/1950;6248 ;17 years, 39 days
852;LCM;4x100m freestyle;20;Women;06/07/1968;4:01.1;GUSTAVSON, Linda;USA;Santa Clara Invitational;Santa Clara, California;USA;Relay;30/11/1949;6793 ;18 years, 219 days
853;LCM;4x100m freestyle;20;Women;06/07/1968;4:01.1;WATSON, Lillian Debra;USA;Santa Clara Invitational;Santa Clara, California;USA;Relay;11/07/1950;6570 ;17 years, 361 days
854;LCM;4x100m freestyle;20;Women;06/07/1968;4:01.1;CARPINELLI, Pam;USA;Santa Clara Invitational;Santa Clara, California;USA;Relay;;;
855;LCM;4x100m freestyle;20;Women;06/07/1968;4:01.1;HENNE, Jan;USA;Santa Clara Invitational;Santa Clara, California;USA;Relay;11/08/1947;7635 ;20 years, 330 days
856;LCM;4x100m freestyle;20;Women;11/09/1970;4:00.8;WETZKO, Gabriele;GDR;European Championships;Barcelona;ESP;Relay;28/08/1954;5858 ;16 years, 14 days
857;LCM;4x100m freestyle;20;Women;11/09/1970;4:00.8;KOMAR, Iris;GDR;European Championships;Barcelona;ESP;Relay;;;
858;LCM;4x100m freestyle;20;Women;11/09/1970;4:00.8;SEHMISCH, Elke;GDR;European Championships;Barcelona;ESP;Relay;04/05/1955;5609 ;15 years, 130 days
859;LCM;4x100m freestyle;20;Women;11/09/1970;4:00.8;SCHULZE, Sabine;GDR;European Championships;Barcelona;ESP;Relay;;;
860;LCM;4x100m freestyle;20;Women;09/09/1971;4:00.7;BABASHOFF, Shirley;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS;Relay;31/01/1957;5334 ;14 years, 221 days
861;LCM;4x100m freestyle;20;Women;09/09/1971;4:00.7;PEYTON, Kim;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS;Relay;26/01/1957;5339 ;14 years, 226 days
862;LCM;4x100m freestyle;20;Women;09/09/1971;4:00.7;JOHNSON, Linda;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS;Relay;;;
863;LCM;4x100m freestyle;20;Women;09/09/1971;4:00.7;DEARDURFF, Deena;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS;Relay;08/05/1957;5237 ;14 years, 124 days
864;LCM;4x100m freestyle;20;Women;18/08/1972;3:58.11;PEYTON, Kim;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA;Relay;26/01/1957;5683 ;15 years, 205 days
865;LCM;4x100m freestyle;20;Women;18/08/1972;3:58.11;NEILSON, Sandra;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA;Relay;20/03/1956;5995 ;16 years, 151 days
866;LCM;4x100m freestyle;20;Women;18/08/1972;3:58.11;BARKMAN, Jane;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA;Relay;20/09/1951;7638 ;20 years, 333 days
867;LCM;4x100m freestyle;20;Women;18/08/1972;3:58.11;BABASHOFF, Shirley;USA;Pre-Olympic Meet;Knoxville, Tennessee;USA;Relay;31/01/1957;5678 ;15 years, 200 days
868;LCM;4x100m freestyle;20;Women;30/08/1972;3:58.11;EIFE, Andrea;GDR;Olympic Games;M nchen, Bavaria;FRG;Relay;12/04/1956;5984 ;16 years, 140 days
869;LCM;4x100m freestyle;20;Women;30/08/1972;3:58.11;EICHNER, Sylvia;GDR;Olympic Games;M nchen, Bavaria;FRG;Relay;06/06/1957;5564 ;15 years, 85 days
870;LCM;4x100m freestyle;20;Women;30/08/1972;3:58.11;SEHMISCH, Elke;GDR;Olympic Games;M nchen, Bavaria;FRG;Relay;04/05/1955;6328 ;17 years, 118 days
871;LCM;4x100m freestyle;20;Women;30/08/1972;3:58.11;ENDER, Kornelia;GDR;Olympic Games;M nchen, Bavaria;FRG;Relay;25/10/1958;5058 ;13 years, 310 days
872;LCM;4x100m freestyle;20;Women;30/08/1972;3:55.19;NEILSON, Sandra;USA;Olympic Games;M nchen, Bavaria;FRG;Relay;20/03/1956;6007 ;16 years, 163 days
873;LCM;4x100m freestyle;20;Women;30/08/1972;3:55.19;KEMP, Jennifer;USA;Olympic Games;M nchen, Bavaria;FRG;Relay;28/05/1955;6304 ;17 years, 94 days
874;LCM;4x100m freestyle;20;Women;30/08/1972;3:55.19;BARKMAN, Jane;USA;Olympic Games;M nchen, Bavaria;FRG;Relay;20/09/1951;7650 ;20 years, 345 days
875;LCM;4x100m freestyle;20;Women;30/08/1972;3:55.19;BABASHOFF, Shirley;USA;Olympic Games;M nchen, Bavaria;FRG;Relay;31/01/1957;5690 ;15 years, 212 days
876;LCM;4x100m freestyle;20;Women;08/09/1973;3:52.452;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG;Relay;25/10/1958;5432 ;14 years, 318 days
877;LCM;4x100m freestyle;20;Women;08/09/1973;3:52.452;EIFE, Andrea;GDR;World Championships;Beograd (Belgrade);YUG;Relay;12/04/1956;6358 ;17 years, 149 days
878;LCM;4x100m freestyle;20;Women;08/09/1973;3:52.452;HUBNER, Andrea;GDR;World Championships;Beograd (Belgrade);YUG;Relay;17/02/1957;6047 ;16 years, 203 days
879;LCM;4x100m freestyle;20;Women;08/09/1973;3:52.452;EICHNER, Sylvia;GDR;World Championships;Beograd (Belgrade);YUG;Relay;06/06/1957;5938 ;16 years, 94 days
880;LCM;4x100m freestyle;20;Women;31/08/1974;3:51.99;MARSHALL, Ann;USA;USA v GDR Dual Meet;Concord, California;USA;Relay;27/11/1957;6121 ;16 years, 277 days
881;LCM;4x100m freestyle;20;Women;31/08/1974;3:51.99;PEYTON, Kim;USA;USA v GDR Dual Meet;Concord, California;USA;Relay;26/01/1957;6426 ;17 years, 217 days
882;LCM;4x100m freestyle;20;Women;31/08/1974;3:51.99;HEDDY, Kathy;USA;USA v GDR Dual Meet;Concord, California;USA;Relay;04/02/1958;6052 ;16 years, 208 days
883;LCM;4x100m freestyle;20;Women;31/08/1974;3:51.99;BABASHOFF, Shirley;USA;USA v GDR Dual Meet;Concord, California;USA;Relay;31/01/1957;6421 ;17 years, 212 days
884;LCM;4x100m freestyle;20;Women;26/07/1975;3:49.37;ENDER, Kornelia;GDR;World Championships;Cali;COL;Relay;25/10/1958;6118 ;16 years, 274 days
885;LCM;4x100m freestyle;20;Women;26/07/1975;3:49.37;KRAUSE, Barbara;GDR;World Championships;Cali;COL;Relay;07/07/1959;5863 ;16 years, 19 days
886;LCM;4x100m freestyle;20;Women;26/07/1975;3:49.37;HEMPEL, Claudia;GDR;World Championships;Cali;COL;Relay;25/09/1958;6148 ;16 years, 304 days
887;LCM;4x100m freestyle;20;Women;26/07/1975;3:49.37;BRUCKNER, Ute;GDR;World Championships;Cali;COL;Relay;;;
888;LCM;4x100m freestyle;20;Women;02/06/1976;3:48.80;KOTHER-GABRIEL, Rosemarie;GDR;GDR Olympic Trials;Berlin;GDR;Relay;27/02/1956;7401 ;20 years, 96 days
889;LCM;4x100m freestyle;20;Women;02/06/1976;3:48.80;POLLACK, Andrea;GDR;GDR Olympic Trials;Berlin;GDR;Relay;08/05/1961;5504 ;15 years, 25 days
890;LCM;4x100m freestyle;20;Women;02/06/1976;3:48.80;SELTMANN, Monika;GDR;GDR Olympic Trials;Berlin;GDR;Relay;;;
891;LCM;4x100m freestyle;20;Women;02/06/1976;3:48.80;KRAUSE, Barbara;GDR;GDR Olympic Trials;Berlin;GDR;Relay;07/07/1959;6175 ;16 years, 331 days
892;LCM;4x100m freestyle;20;Women;25/07/1976;3:44.82;PEYTON, Kim;USA;Olympic Games;Montr al, Qu bec;CAN;Relay;26/01/1957;7120 ;19 years, 181 days
893;LCM;4x100m freestyle;20;Women;25/07/1976;3:44.82;BOGLIOLI, Wendy;USA;Olympic Games;Montr al, Qu bec;CAN;Relay;06/03/1955;7812 ;21 years, 141 days
894;LCM;4x100m freestyle;20;Women;25/07/1976;3:44.82;STERKEL, Jill;USA;Olympic Games;Montr al, Qu bec;CAN;Relay;27/05/1961;5538 ;15 years, 59 days
895;LCM;4x100m freestyle;20;Women;25/07/1976;3:44.82;BABASHOFF, Shirley;USA;Olympic Games;Montr al, Qu bec;CAN;Relay;31/01/1957;7115 ;19 years, 176 days
896;LCM;4x100m freestyle;20;Women;26/08/1978;3:43.43;CAULKINS, Tracy;USA;World Championships;Berlin;FRG;Relay;11/01/1963;5706 ;15 years, 227 days
897;LCM;4x100m freestyle;20;Women;26/08/1978;3:43.43;ELKINS, Stephanie;USA;World Championships;Berlin;FRG;Relay;24/07/1963;5512 ;15 years, 33 days
