count;Meet;Course;Year;Gender;Event;Rank;Athlete;Country;Time;time1;Margin
99951;World Championships (Short Course);SCM;1997;Women;200m backstroke;1;CHEN, Yan;CHN;2:07.50;127.5;0.16
99998;World Championships (Short Course);SCM;1997;Women;100m breaststroke;1;ELLEM, Kristy;AUS;1:08.27;68.27;0.06
100052;World Championships (Short Course);SCM;1997;Women;200m breaststroke;1;ELLEM, Kristy;AUS;2:22.68;142.68;2.92
100105;World Championships (Short Course);SCM;1997;Women;200m individual medley;1;KARLSSON, Louise;SWE;2:11.19;131.19;0.02
100160;World Championships (Short Course);SCM;1997;Women;400m individual medley;1;JOHNSON, Gemma;AUS;4:35.18;275.18;0.84
100451;World Championships (Short Course);SCM;1997;Men;50m freestyle;1;SANCHEZ BETANCOURT, Francisco Demetrio;VEN;21.80;21.8;0.23
100529;World Championships (Short Course);SCM;1997;Men;100m freestyle;1;SANCHEZ BETANCOURT, Francisco Demetrio;VEN;47.86;47.86;0.30
100616;World Championships (Short Course);SCM;1997;Men;200m freestyle;1;FRANCA BORGES, Gustavo;BRA;1:45.45;105.45;0.36
100669;World Championships (Short Course);SCM;1997;Men;400m freestyle;1;CARSTENSEN, Jacob;DEN;3:43.44;223.44;0.29
100730;World Championships (Short Course);SCM;1997;Men;100m butterfly;1;FROLANDER, Lars;SWE;51.95;51.95;0.04
100799;World Championships (Short Course);SCM;1997;Men;200m butterfly;1;HICKMAN, James;GBR;1:55.55;115.55;0.21
100848;World Championships (Short Course);SCM;1997;Men;100m backstroke;1;BENT, Neisser;CUB;52.77;52.77;0.29
100907;World Championships (Short Course);SCM;1997;Men;200m backstroke;1;BENT, Neisser;CUB;1:54.21;114.21;0.61
100966;World Championships (Short Course);SCM;1997;Men;100m breaststroke;1;ISAKSSON, Patrik;SWE;59.99;59.99;0.06
101029;World Championships (Short Course);SCM;1997;Men;200m breaststroke;1;GUKOV, Alexandre;BLR;2:09.25;129.25;0.03
101087;World Championships (Short Course);SCM;1997;Men;200m individual medley;1;DUNN, Matthew;AUS;1:57.46;117.46;0.89
101152;World Championships (Short Course);SCM;1997;Men;400m individual medley;1;DUNN, Matthew;AUS;4:06.89;246.89;5.63
101507;World Championships (Short Course);SCM;1999;Women;50m freestyle;1;DE BRUIJN, Inge;NED;24.35;24.35;0.22
101568;World Championships (Short Course);SCM;1999;Women;100m freestyle;1;THOMPSON, Jenny;USA;53.24;53.24;0.52
101631;World Championships (Short Course);SCM;1999;Women;200m freestyle;1;MORAVCOVA, Martina;SVK;1:56.11;116.11;0.50
101676;World Championships (Short Course);SCM;1999;Women;400m freestyle;1;CHEMEZOVA, Nadejda;RUS;4:05.23;245.23;1.11
101717;World Championships (Short Course);SCM;1999;Women;800m freestyle;1;CHEN, Hua;CHN;8:20.13;500.13;3.23
101743;World Championships (Short Course);SCM;1999;Women;50m butterfly;1;THOMPSON, Jenny;USA;26.18;26.18;0.03
101801;World Championships (Short Course);SCM;1999;Women;100m butterfly;1;THOMPSON, Jenny;USA;57.65;57.65;0.09
101855;World Championships (Short Course);SCM;1999;Women;200m butterfly;1;JACOBSEN, Mette;DEN;2:06.52;126.52;0.01
101885;World Championships (Short Course);SCM;1999;Women;50m backstroke;1;VOLKER, Sandra;GER;27.63;27.63;0.10
101938;World Championships (Short Course);SCM;1999;Women;100m backstroke;1;NAKAMURA, Mai;JPN;58.67;58.67;1.76
101992;World Championships (Short Course);SCM;1999;Women;200m backstroke;1;NAKAMURA, Mai;JPN;2:06.49;126.49;1.69
102025;World Championships (Short Course);SCM;1999;Women;50m breaststroke;1;TANAKA, Masami;JPN;30.80;30.8;0.08
102079;World Championships (Short Course);SCM;1999;Women;100m breaststroke;1;TANAKA, Masami;JPN;1:06.38;66.38;0.09
102135;World Championships (Short Course);SCM;1999;Women;200m breaststroke;1;TANAKA, Masami;JPN;2:20.22;140.22;4.05
102143;World Championships (Short Course);SCM;1999;Women;100m individual medley;1;MORAVCOVA, Martina;SVK;1:00.20;60.2;1.20
102195;World Championships (Short Course);SCM;1999;Women;200m individual medley;1;MORAVCOVA, Martina;SVK;2:08.55;128.55;2.12
102233;World Championships (Short Course);SCM;1999;Women;400m individual medley;1;KLOCHKOVA, Yana;UKR;4:32.32;272.32;2.58
102514;World Championships (Short Course);SCM;1999;Men;50m freestyle;1;FOSTER, Mark;GBR;21.81;21.81;0.03
102588;World Championships (Short Course);SCM;1999;Men;100m freestyle;1;FROLANDER, Lars;SWE;47.05;47.05;0.44
102665;World Championships (Short Course);SCM;1999;Men;200m freestyle;1;THORPE, Ian;AUS;1:43.28;103.28;0.50
102712;World Championships (Short Course);SCM;1999;Men;400m freestyle;1;HACKETT, Grant;AUS;3:35.01;215.01;0.63
102748;World Championships (Short Course);SCM;1999;Men;1500m freestyle;1;HACKETT, Grant;AUS;14:32.87;872.87;12.54
102766;World Championships (Short Course);SCM;1999;Men;50m butterfly;1;FOSTER, Mark;GBR;23.61;23.61;0.26
102830;World Championships (Short Course);SCM;1999;Men;100m butterfly;1;FROLANDER, Lars;SWE;51.45;51.45;0.11
102897;World Championships (Short Course);SCM;1999;Men;200m butterfly;1;HICKMAN, James;GBR;1:52.71;112.71;1.97
102942;World Championships (Short Course);SCM;1999;Men;50m backstroke;1;FALCON CABRERA, Rodolfo;CUB;24.34;24.34;0.07
103008;World Championships (Short Course);SCM;1999;Men;100m backstroke;1;FALCON CABRERA, Rodolfo;CUB;52.44;52.44;0.01
103070;World Championships (Short Course);SCM;1999;Men;200m backstroke;1;WATSON, Josh;AUS;1:54.67;114.67;0.75
103109;World Championships (Short Course);SCM;1999;Men;50m breaststroke;1;KRAYEVSKYY, Dmytro;UKR;27.40;27.4;0.17
103171;World Championships (Short Course);SCM;1999;Men;100m breaststroke;1;ISAKSSON, Patrik;SWE;59.69;59.69;0.19
103243;World Championships (Short Course);SCM;1999;Men;200m breaststroke;1;ROGERS, Phil;AUS;2:08.72;128.72;0.01
103285;World Championships (Short Course);SCM;1999;Men;100m individual medley;1;SIEVINEN, Jani;FIN;54.18;54.18;0.59
103348;World Championships (Short Course);SCM;1999;Men;200m individual medley;1;DUNN, Matthew;AUS;1:55.81;115.81;0.70
103402;World Championships (Short Course);SCM;1999;Men;400m individual medley;1;DUNN, Matthew;AUS;4:06.05;246.05;3.24
103708;World Championships (Short Course);SCM;2000;Women;50m freestyle;1;ALSHAMMAR, Therese;SWE;23.59;23.59;1.18
103756;World Championships (Short Course);SCM;2000;Women;100m freestyle;1;ALSHAMMAR, Therese;SWE;52.17;52.17;0.97
103808;World Championships (Short Course);SCM;2000;Women;200m freestyle;1;YANG, Yu;CHN;1:56.06 ;116.06;0.40
103842;World Championships (Short Course);SCM;2000;Women;400m freestyle;1;BENKO, Lindsay;USA;4:02.44 ;242.44;1.95
103874;World Championships (Short Course);SCM;2000;Women;800m freestyle;1;CHEN, Hua;CHN;8:17.03;497.03;2.63
103887;World Championships (Short Course);SCM;2000;Women;50m butterfly;1;THOMPSON, Jenny;USA;26.13;26.13;0.03
103936;World Championships (Short Course);SCM;2000;Women;100m butterfly;1;THOMPSON, Jenny;USA;57.67;57.67;0.29
103987;World Championships (Short Course);SCM;2000;Women;200m butterfly;1;JACOBSEN, Mette;DEN;2:08.10 ;128.1;1.32
104017;World Championships (Short Course);SCM;2000;Women;50m backstroke;1;BUSCHSCHULTE, Antje;GER;27.90;27.9;0.13
104065;World Championships (Short Course);SCM;2000;Women;100m backstroke;1;VOLKER, Sandra;GER;58.66;58.66;0.67
104111;World Championships (Short Course);SCM;2000;Women;200m backstroke;1;BUSCHSCHULTE, Antje;GER;2:07.29 ;127.29;1.35
104138;World Championships (Short Course);SCM;2000;Women;50m breaststroke;1;POEWE, Sarah;RSA;30.66;30.66;0.56
104188;World Championships (Short Course);SCM;2000;Women;100m breaststroke;1;POEWE, Sarah;RSA;1:06.21 ;66.21;1.48
104235;World Championships (Short Course);SCM;2000;Women;200m breaststroke;1;BROWN, Rebecca;AUS;2:23.41 ;143.41;0.83
104262;World Championships (Short Course);SCM;2000;Women;100m individual medley;1;MORAVCOVA, Martina;SVK;59.71;59.71;2.29
104305;World Championships (Short Course);SCM;2000;Women;200m individual medley;1;KLOCHKOVA, Yana;UKR;2:08.97 ;128.97;0.01
104335;World Championships (Short Course);SCM;2000;Women;400m individual medley;1;KLOCHKOVA, Yana;UKR;4:32.45 ;272.45;5.47
104460;World Championships (Short Course);SCM;2000;Men;50m freestyle;1;FOSTER, Mark;GBR;21.58;21.58;0.04
104521;World Championships (Short Course);SCM;2000;Men;100m freestyle;1;FROLANDER, Lars;SWE;46.80;46.8;0.93
104578;World Championships (Short Course);SCM;2000;Men;200m freestyle;1;SZABADOS, Bela;HUN;1:45.17 ;105.17;0.46
104611;World Championships (Short Course);SCM;2000;Men;400m freestyle;1;CARVIN, Chad;USA;3:41.13 ;221.13;1.57
104643;World Championships (Short Course);SCM;2000;Men;1500m freestyle;1;HOFFMANN, Joerg;GER;14:47.57;887.57;0.63
104663;World Championships (Short Course);SCM;2000;Men;50m butterfly;1;FOSTER, Mark;GBR;23.30;23.3;0.16
104719;World Championships (Short Course);SCM;2000;Men;100m butterfly;1;FROLANDER, Lars;SWE;50.44;50.44;1.09
104765;World Championships (Short Course);SCM;2000;Men;200m butterfly;1;HICKMAN, James;GBR;1:53.57 ;113.57;0.70
104798;World Championships (Short Course);SCM;2000;Men;50m backstroke;1;WALKER, Neil;USA;23.99;23.99;0.25
104855;World Championships (Short Course);SCM;2000;Men;100m backstroke;1;WALKER, Neil;USA;50.75;50.75;2.12
104914;World Championships (Short Course);SCM;2000;Men;200m backstroke;1;KOZULJ, Gordan;CRO;1:53.31;113.31;0.56
104947;World Championships (Short Course);SCM;2000;Men;50m breaststroke;1;WARNECKE, Mark;GER;27.22;27.22;0.05
104999;World Championships (Short Course);SCM;2000;Men;100m breaststroke;1;SLUDNOV, Roman;RUS;58.57;58.57;1.42
105058;World Championships (Short Course);SCM;2000;Men;200m breaststroke;1;SLUDNOV, Roman;RUS;2:07.59;127.59;0.32
105089;World Championships (Short Course);SCM;2000;Men;100m individual medley;1;WALKER, Neil;USA;52.79;52.79;1.29
105137;World Championships (Short Course);SCM;2000;Men;200m individual medley;1;SIEVINEN, Jani;FIN;1:56.27 ;116.27;0.59
105168;World Championships (Short Course);SCM;2000;Men;400m individual medley;1;SIEVINEN, Jani;FIN;4:09.54 ;249.54;1.02
105290;World Championships (Short Course);SCM;2002;Women;50m freestyle;1;ALSHAMMAR, Therese;SWE;24.16;24.16;0.12
105345;World Championships (Short Course);SCM;2002;Women;100m freestyle;1;ALSHAMMAR, Therese;SWE;52.89;52.89;0.07
105415;World Championships (Short Course);SCM;2002;Women;200m freestyle;1;BENKO, Lindsay;USA;1:54.04;114.04;1.30
105464;World Championships (Short Course);SCM;2002;Women;400m freestyle;1;KLOCHKOVA, Yana;UKR;4:01.26;241.26;2.55
105501;World Championships (Short Course);SCM;2002;Women;800m freestyle;1;CHEN, Hua;CHN;8:16.34;496.34;5.57
105522;World Championships (Short Course);SCM;2002;Women;50m butterfly;1;KAMMERLING, Anna-Karin;SWE;25.55;25.55;0.81
105584;World Championships (Short Course);SCM;2002;Women;100m butterfly;1;MORAVCOVA, Martina;SVK;57.04;57.04;0.87
105643;World Championships (Short Course);SCM;2002;Women;200m butterfly;1;THOMAS, Petria;AUS;2:05.76;125.76;0.34
105674;World Championships (Short Course);SCM;2002;Women;50m backstroke;1;CARROLL, Jennifer;CAN;27.38;27.38;0.06
105742;World Championships (Short Course);SCM;2002;Women;100m backstroke;1;COPE, Haley;USA;59.07;59.07;0.06
105811;World Championships (Short Course);SCM;2002;Women;200m backstroke;1;BENKO, Lindsay;USA;2:04.97;124.97;2.33
105850;World Championships (Short Course);SCM;2002;Women;50m breaststroke;1;IGELSTROM, Emma;SWE;29.96;29.96;0.21
105906;World Championships (Short Course);SCM;2002;Women;100m breaststroke;1;IGELSTROM, Emma;SWE;1:05.38;65.38;0.78
105965;World Championships (Short Course);SCM;2002;Women;200m breaststroke;1;QI, Hui;CHN;2:20.91;140.91;0.39
106001;World Championships (Short Course);SCM;2002;Women;100m individual medley;1;MORAVCOVA, Martina;SVK;59.91;59.91;0.77
106052;World Championships (Short Course);SCM;2002;Women;200m individual medley;1;KLOCHKOVA, Yana;UKR;2:08.82;128.82;0.95
106089;World Championships (Short Course);SCM;2002;Women;400m individual medley;1;KLOCHKOVA, Yana;UKR;4:30.63;270.63;4.81
106342;World Championships (Short Course);SCM;2002;Men;50m freestyle;1;MEOLANS, Jose;ARG;21.36;21.36;0.08
106445;World Championships (Short Course);SCM;2002;Men;100m freestyle;1;CALLUS, Ashley;AUS;46.99;46.99;0.10
106539;World Championships (Short Course);SCM;2002;Men;200m freestyle;1;KELLER, Klete;USA;1:44.36;104.36;1.31
106604;World Championships (Short Course);SCM;2002;Men;400m freestyle;1;HACKETT, Grant;AUS;3:38.29;218.29;3.68
106658;World Championships (Short Course);SCM;2002;Men;1500m freestyle;1;HACKETT, Grant;AUS;14:33.94;873.94;5.49
106682;World Championships (Short Course);SCM;2002;Men;50m butterfly;1;HUEGILL, Geoff;AUS;22.89;22.89;0.40
106766;World Championships (Short Course);SCM;2002;Men;100m butterfly;1;HUEGILL, Geoff;AUS;50.95;50.95;0.32
106846;World Championships (Short Course);SCM;2002;Men;200m butterfly;1;HICKMAN, James;GBR;1:53.14;113.14;0.93
106894;World Championships (Short Course);SCM;2002;Men;50m backstroke;1;WELSH, Matt;AUS;23.66;23.66;0.38
106966;World Championships (Short Course);SCM;2002;Men;100m backstroke;1;WELSH, Matt;AUS;51.26;51.26;0.45
107040;World Championships (Short Course);SCM;2002;Men;200m backstroke;1;PEIRSOL, Aaron;USA;1:51.17;111.17;1.91
107090;World Championships (Short Course);SCM;2002;Men;50m breaststroke;1;LISOGOR, Oleg;UKR;26.42;26.42;0.80
107173;World Championships (Short Course);SCM;2002;Men;100m breaststroke;1;LISOGOR, Oleg;UKR;58.33;58.33;0.77
107256;World Championships (Short Course);SCM;2002;Men;200m breaststroke;1;PIPER, Jim;AUS;2:07.16;127.16;0.26
107305;World Championships (Short Course);SCM;2002;Men;100m individual medley;1;MANKOC, Peter;SLO;52.90;52.9;0.88
107380;World Championships (Short Course);SCM;2002;Men;200m individual medley;1;SIEVINEN, Jani;FIN;1:55.45;115.45;0.68
107444;World Championships (Short Course);SCM;2002;Men;400m individual medley;1;WILKENS, Thomas Peter;USA;4:04.82;244.82;2.03
107760;World Championships (Short Course);SCM;2004;Women;50m freestyle;1;VELDHUIS, Magdalena;NED;24.41;24.41;0.13
107842;World Championships (Short Course);SCM;2004;Women;100m freestyle;1;LENTON, Libby;AUS;52.67;52.67;0.89
107917;World Championships (Short Course);SCM;2004;Women;200m freestyle;1;LILLHAGE, Josefin;SWE;1:56.35;116.35;0.13
107958;World Championships (Short Course);SCM;2004;Women;400m freestyle;1;SANDENO, Kaitlin;USA;4:02.01;242.01;2.48
107987;World Championships (Short Course);SCM;2004;Women;800m freestyle;1;YAMADA, Sachiko;JPN;8:18.21;498.21;2.34
108005;World Championships (Short Course);SCM;2004;Women;50m butterfly;1;THOMPSON, Jenny;USA;25.89;25.89;0.13
108074;World Championships (Short Course);SCM;2004;Women;100m butterfly;1;MORAVCOVA, Martina;SVK;57.38;57.38;0.47
108133;World Championships (Short Course);SCM;2004;Women;200m butterfly;1;SANDENO, Kaitlin;USA;2:06.95;126.95;0.84
108162;World Championships (Short Course);SCM;2004;Women;50m backstroke;1;COPE, Haley;USA;27.49;27.49;0.06
108216;World Championships (Short Course);SCM;2004;Women;100m backstroke;1;COPE, Haley;USA;59.03;59.03;0.58
108270;World Championships (Short Course);SCM;2004;Women;200m backstroke;1;HOELZER, Margaret;USA;2:05.84;125.84;2.21
108301;World Championships (Short Course);SCM;2004;Women;50m breaststroke;1;HANSON, Brooke;AUS;30.20;30.2;0.01
108359;World Championships (Short Course);SCM;2004;Women;100m breaststroke;1;HANSON, Brooke;AUS;1:05.36;65.36;0.61
108423;World Championships (Short Course);SCM;2004;Women;200m breaststroke;1;HANSON, Brooke;AUS;2:21.68;141.68;0.85
108463;World Championships (Short Course);SCM;2004;Women;100m individual medley;1;HANSON, Brooke;AUS;1:00.01;60.01;0.91
108526;World Championships (Short Course);SCM;2004;Women;200m individual medley;1;HANSON, Brooke;AUS;2:09.81;129.81;0.77
108557;World Championships (Short Course);SCM;2004;Women;400m individual medley;1;SANDENO, Kaitlin;USA;4:30.12;270.12;2.97
108763;World Championships (Short Course);SCM;2004;Men;50m freestyle;1;FOSTER, Mark;GBR;21.58;21.58;0.08
108867;World Championships (Short Course);SCM;2004;Men;100m freestyle;1;LEZAK, Jason;USA;47.97;47.97;0.10
108960;World Championships (Short Course);SCM;2004;Men;200m freestyle;1;PHELPS, Michael;USA;1:43.59;103.59;0.80
109014;World Championships (Short Course);SCM;2004;Men;400m freestyle;1;PRILUKOV, Yuriy;RUS;3:40.79;220.79;2.98
109058;World Championships (Short Course);SCM;2004;Men;1500m freestyle;1;PRILUKOV, Yuriy;RUS;14:39.16;879.16;14.73
109081;World Championships (Short Course);SCM;2004;Men;50m butterfly;1;CROCKER, Ian;USA;22.71;22.71;0.51
109171;World Championships (Short Course);SCM;2004;Men;100m butterfly;1;CROCKER, Ian;USA;50.18;50.18;0.95
109255;World Championships (Short Course);SCM;2004;Men;200m butterfly;1;HICKMAN, James;GBR;1:53.41;113.41;0.65
109292;World Championships (Short Course);SCM;2004;Men;50m backstroke;1;RUPPRATH, Thomas;GER;23.51;23.51;0.09
109354;World Championships (Short Course);SCM;2004;Men;100m backstroke;1;PEIRSOL, Aaron;USA;50.72;50.72;0.32
109416;World Championships (Short Course);SCM;2004;Men;200m backstroke;1;PEIRSOL, Aaron;USA;1:50.52;110.52;2.02
109452;World Championships (Short Course);SCM;2004;Men;50m breaststroke;1;HANSEN, Brendan;USA;26.86;26.86;0.23
109523;World Championships (Short Course);SCM;2004;Men;100m breaststroke;1;HANSEN, Brendan;USA;58.45;58.45;0.19
109601;World Championships (Short Course);SCM;2004;Men;200m breaststroke;1;HANSEN, Brendan;USA;2:04.98;124.98;3.36
109644;World Championships (Short Course);SCM;2004;Men;100m individual medley;1;MANKOC, Peter;SLO;52.66;52.66;0.69
109715;World Championships (Short Course);SCM;2004;Men;200m individual medley;1;PEREIRA, Thiago;BRA;1:55.78;115.78;0.08
109760;World Championships (Short Course);SCM;2004;Men;400m individual medley;1;MELLOULI, Ous;TUN;4:07.02;247.02;1.04
110030;World Championships (Short Course);SCM;2006;Women;50m freestyle;1;LENTON, Libby;AUS;23.97;23.97;0.01
110112;World Championships (Short Course);SCM;2006;Women;100m freestyle;1;LENTON, Libby;AUS;52.33;52.33;1.00
110192;World Championships (Short Course);SCM;2006;Women;200m freestyle;1;YANG, Yu;CHN;1:54.94;114.94;0.21
110249;World Championships (Short Course);SCM;2006;Women;400m freestyle;1;ZIEGLER, Kate;USA;4:01.79;241.79;1.50
110287;World Championships (Short Course);SCM;2006;Women;800m freestyle;1;IVANENKO, Anastasia;RUS;8:11.99;491.99;2.13
110306;World Championships (Short Course);SCM;2006;Women;50m butterfly;1;ALSHAMMAR, Therese;SWE;25.76;25.76;0.19
110384;World Championships (Short Course);SCM;2006;Women;100m butterfly;1;LENTON, Libby;AUS;56.61;56.61;0.82
110447;World Championships (Short Course);SCM;2006;Women;200m butterfly;1;SCHIPPER, Jess;AUS;2:05.11;125.11;0.80
110475;World Championships (Short Course);SCM;2006;Women;50m backstroke;1;PIETSCH, Janine;GER;27.00;27;0.25
110536;World Championships (Short Course);SCM;2006;Women;100m backstroke;1;PIETSCH, Janine;GER;58.02;58.02;0.25
110594;World Championships (Short Course);SCM;2006;Women;200m backstroke;1;HOELZER, Margaret;USA;2:05.29;125.29;0.70
110625;World Championships (Short Course);SCM;2006;Women;50m breaststroke;1;EDMISTONE, Jade;AUS;30.22;30.22;0.18
110690;World Championships (Short Course);SCM;2006;Women;100m breaststroke;1;KIRK, Tara;USA;1:05.25;65.25;0.37
110750;World Championships (Short Course);SCM;2006;Women;200m breaststroke;1;QI, Hui;CHN;2:20.72;140.72;1.05
110786;World Championships (Short Course);SCM;2006;Women;100m individual medley;1;HANSON, Brooke;AUS;1:00.16;60.16;0.58
110846;World Championships (Short Course);SCM;2006;Women;200m individual medley;1;QI, Hui;CHN;2:09.33;129.33;1.46
110879;World Championships (Short Course);SCM;2006;Women;400m individual medley;1;QI, Hui;CHN;4:34.28;274.28;1.04
111132;World Championships (Short Course);SCM;2006;Men;50m freestyle;1;DRAGANJA, Duje;CRO;21.38;21.38;0.14
111252;World Championships (Short Course);SCM;2006;Men;100m freestyle;1;NEETHLING, Ryk;RSA;47.24;47.24;0.07
111372;World Championships (Short Course);SCM;2006;Men;200m freestyle;1;NEETHLING, Ryk;RSA;1:43.51;103.51;0.27
111437;World Championships (Short Course);SCM;2006;Men;400m freestyle;1;PRILUKOV, Yuriy;RUS;3:38.08;218.08;2.35
111481;World Championships (Short Course);SCM;2006;Men;1500m freestyle;1;PRILUKOV, Yuriy;RUS;14:23.92;863.92;9.36
111500;World Championships (Short Course);SCM;2006;Men;50m butterfly;1;WELSH, Matt;AUS;23.05;23.05;0.01
111603;World Championships (Short Course);SCM;2006;Men;100m butterfly;1;ALMEIDA, Kaio Marcio;BRA;51.07;51.07;0.16
111695;World Championships (Short Course);SCM;2006;Men;200m butterfly;1;WU, Peng;CHN;1:52.36;112.36;1.58
111738;World Championships (Short Course);SCM;2006;Men;50m backstroke;1;WELSH, Matt;AUS;23.53;23.53;0.17
111817;World Championships (Short Course);SCM;2006;Men;100m backstroke;1;WELSH, Matt;AUS;51.09;51.09;0.39
111886;World Championships (Short Course);SCM;2006;Men;200m backstroke;1;LOCHTE, Ryan;USA;1:49.05;109.05;1.92
111923;World Championships (Short Course);SCM;2006;Men;50m breaststroke;1;LISOGOR, Oleg;UKR;26.39;26.39;0.21
112018;World Championships (Short Course);SCM;2006;Men;100m breaststroke;1;LISOGOR, Oleg;UKR;58.14;58.14;0.56
112107;World Championships (Short Course);SCM;2006;Men;200m breaststroke;1;POLYAKOV, Vladislav;KAZ;2:06.95;126.95;0.57
112154;World Championships (Short Course);SCM;2006;Men;100m individual medley;1;NEETHLING, Ryk;RSA;52.42;52.42;0.58
112233;World Championships (Short Course);SCM;2006;Men;200m individual medley;1;LOCHTE, Ryan;USA;1:53.31;113.31;2.37
112276;World Championships (Short Course);SCM;2006;Men;400m individual medley;1;LOCHTE, Ryan;USA;4:02.49;242.49;2.63
112595;World Championships (Short Course);SCM;2008;Women;50m freestyle;1;VELDHUIS, Magdalena;NED;23.25;23.25;0.58
112689;World Championships (Short Course);SCM;2008;Women;100m freestyle;1;VELDHUIS, Magdalena;NED;52.17;52.17;0.62
112782;World Championships (Short Course);SCM;2008;Women;200m freestyle;1;PALMER, Kylie;AUS;1:54.41;114.41;0.24
112843;World Championships (Short Course);SCM;2008;Women;400m freestyle;1;PALMER, Kylie;AUS;3:59.23;239.23;1.83
112886;World Championships (Short Course);SCM;2008;Women;800m freestyle;1;ADLINGTON, Rebecca;GBR;8:08.25;488.25;4.07
112909;World Championships (Short Course);SCM;2008;Women;50m butterfly;1;GALVEZ, Felicity;AUS;25.32;25.32;0.08
112991;World Championships (Short Course);SCM;2008;Women;100m butterfly;1;GALVEZ, Felicity;AUS;55.89;55.89;0.43
113062;World Championships (Short Course);SCM;2008;Women;200m butterfly;1;DESCENZA, Mary;USA;2:04.27;124.27;0.63
113091;World Championships (Short Course);SCM;2008;Women;50m backstroke;1;JOVANOVIC, Sanja;CRO;26.37;26.37;0.33
113163;World Championships (Short Course);SCM;2008;Women;100m backstroke;1;COVENTRY, Kirsty;ZIM;57.10;57.1;0.05
113235;World Championships (Short Course);SCM;2008;Women;200m backstroke;1;COVENTRY, Kirsty;ZIM;2:00.91;120.91;1.69
113265;World Championships (Short Course);SCM;2008;Women;50m breaststroke;1;HARDY, Jessica;USA;29.58;29.58;0.77
113333;World Championships (Short Course);SCM;2008;Women;100m breaststroke;1;HARDY, Jessica;USA;1:04.22;64.22;0.71
113396;World Championships (Short Course);SCM;2008;Women;200m breaststroke;1;VAN BILJON, Suzaan;RSA;2:18.73;138.73;1.38
113435;World Championships (Short Course);SCM;2008;Women;100m individual medley;1;REESE, Shayne;AUS;59.58;59.58;0.04
113506;World Championships (Short Course);SCM;2008;Women;200m individual medley;1;COVENTRY, Kirsty;ZIM;2:06.13;126.13;1.34
113551;World Championships (Short Course);SCM;2008;Women;400m individual medley;1;COVENTRY, Kirsty;ZIM;4:26.52;266.52;0.75
113751;World Championships (Short Course);SCM;2008;Men;50m freestyle;1;DRAGANJA, Duje;CRO;20.81;20.81;0.50
113875;World Championships (Short Course);SCM;2008;Men;100m freestyle;1;ADRIAN, Nathan;USA;46.67;46.67;0.03
114002;World Championships (Short Course);SCM;2008;Men;200m freestyle;1;MONK, Kenrick;AUS;1:43.46;103.46;0.04
114080;World Championships (Short Course);SCM;2008;Men;400m freestyle;1;PRILUKOV, Yuriy;RUS;3:37.35;217.35;2.25
114138;World Championships (Short Course);SCM;2008;Men;1500m freestyle;1;PRILUKOV, Yuriy;RUS;14:22.98;862.98;13.32
114160;World Championships (Short Course);SCM;2008;Men;50m butterfly;1;PINE, Adam;AUS;22.78;22.78;0.08
114266;World Championships (Short Course);SCM;2008;Men;100m butterfly;1;MANKOC, Peter;SLO;50.04;50.04;0.50
114363;World Championships (Short Course);SCM;2008;Men;200m butterfly;1;BURMESTER, Moss;NZL;1:51.05;111.05;0.78
114410;World Championships (Short Course);SCM;2008;Men;50m backstroke;1;MARSHALL, Peter;USA;23.49;23.49;0.04
114499;World Championships (Short Course);SCM;2008;Men;100m backstroke;1;TANCOCK, Liam;GBR;50.14;50.14;0.28
114585;World Championships (Short Course);SCM;2008;Men;200m backstroke;1;ROGAN, Markus;AUT;1:47.84;107.84;0.07
114635;World Championships (Short Course);SCM;2008;Men;50m breaststroke;1;LISOGOR, Oleg;UKR;26.46;26.46;0.08
114726;World Championships (Short Course);SCM;2008;Men;100m breaststroke;1;BORYSIK, Igor;UKR;57.74;57.74;0.18
114815;World Championships (Short Course);SCM;2008;Men;200m breaststroke;1;GILCHRIST, Kristopher;GBR;2:06.18;126.18;0.03
114866;World Championships (Short Course);SCM;2008;Men;100m individual medley;1;LOCHTE, Ryan;USA;51.15;51.15;1.06
114954;World Championships (Short Course);SCM;2008;Men;200m individual medley;1;LOCHTE, Ryan;USA;1:51.56;111.56;1.54
115011;World Championships (Short Course);SCM;2008;Men;400m individual medley;1;LOCHTE, Ryan;USA;4:03.21;243.21;0.53
115330;World Championships (Short Course);SCM;2010;Women;50m freestyle;1;KROMOWIDJOJO, Ranomi;NED;23.37;23.37;0.44
115455;World Championships (Short Course);SCM;2010;Women;100m freestyle;1;KROMOWIDJOJO, Ranomi;NED;51.45;51.45;0.73
115568;World Championships (Short Course);SCM;2010;Women;200m freestyle;1;MUFFAT, Camille;FRA;1:52.29;112.29;0.62
115647;World Championships (Short Course);SCM;2010;Women;400m freestyle;1;HOFF, Katie;USA;3:57.07;237.07;1.32
115699;World Championships (Short Course);SCM;2010;Women;800m freestyle;1;VILLAECIJA, Erika;ESP;8:11.61;491.61;0.87
115727;World Championships (Short Course);SCM;2010;Women;50m butterfly;1;ALSHAMMAR, Therese;SWE;24.87;24.87;0.03
115826;World Championships (Short Course);SCM;2010;Women;100m butterfly;1;GALVEZ, Felicity;AUS;55.43;55.43;0.30
115909;World Championships (Short Course);SCM;2010;Women;200m butterfly;1;BELMONTE GARCIA, Mireia;ESP;2:03.59;123.59;0.35
